model,family,feature_set,accuracy,precision,recall,f1,auroc,auprc,brier,precision_at_k,recall_at_k,k
StrictTemporalGCN,strict_temporal_graph_ai,model_native,0.20337065942766655,0.054518598093191886,0.9950980392156863,0.10337364735837047,0.742189298344738,0.0952594382385594,0.33941190661101506,0.09480812641083522,0.10294117647058823,443
XGBoost__graph_handcrafted,feature_ablation,graph_handcrafted,0.46273046035516346,0.06856120826709063,0.8455882352941176,0.12683823529411764,0.6631831820834583,0.06806381159674835,0.31336585654968924,0.04966139954853273,0.05392156862745098,443
ExtraTrees__graph_handcrafted,feature_ablation,graph_handcrafted,0.4906684764166949,0.07192138825005227,0.8431372549019608,0.13253708341360046,0.6651198722107128,0.06730602709937136,0.2884058812226521,0.05417607223476298,0.058823529411764705,443
HistGradientBoosting__graph_handcrafted,feature_ablation,graph_handcrafted,0.4758511480601742,0.06965376782077393,0.8382352941176471,0.12861978187288453,0.6567379145420768,0.06645136551349834,0.31202343460755383,0.04288939051918736,0.04656862745098039,443
HistGradientBoosting__spectral_graph_embedding,feature_ablation,spectral_graph_embedding,0.8631376541115259,0.06030701754385965,0.13480392156862744,0.08333333333333333,0.6084264548935903,0.059211647387720605,0.12177507463502929,0.07223476297968397,0.0784313725490196,443
HistGradientBoosting__node2vec_embedding,feature_ablation,node2vec_embedding,0.5850016966406515,0.054142739950779326,0.4852941176470588,0.0974169741697417,0.5481928778863615,0.05406484603161188,0.2233251940683421,0.06997742663656885,0.07598039215686274,443
ExtraTrees__node2vec_embedding,feature_ablation,node2vec_embedding,0.9538513742789277,0.0,0.0,0.0,0.5520807902195622,0.05358881440082033,0.06499170398922494,0.04966139954853273,0.05392156862745098,443
XGBoost__spectral_graph_embedding,feature_ablation,spectral_graph_embedding,0.786336387286506,0.04374614910659273,0.17401960784313725,0.06991629739044805,0.5333255441391546,0.048744741957466586,0.15987150498001895,0.05191873589164785,0.056372549019607844,443
XGBoost__node2vec_embedding,feature_ablation,node2vec_embedding,0.6466463069788485,0.047634910059960026,0.35049019607843135,0.08387096774193549,0.48441696137722257,0.0445385311884922,0.21477645428941686,0.03160270880361174,0.03431372549019608,443
ExtraTrees__spectral_graph_embedding,feature_ablation,spectral_graph_embedding,0.9445764053840063,0.0,0.0,0.0,0.4561761915723245,0.04016580773547036,0.08959435618622065,0.009029345372460496,0.00980392156862745,443
