mean_prob,observed_rate,n,model
0.23960082563968504,0.03404669260700389,1028,HistGradientBoosting__graph_handcrafted
0.6183120228970509,0.0638477801268499,2365,HistGradientBoosting__graph_handcrafted
0.6764301535768328,0.10975609756097561,328,HistGradientBoosting__graph_handcrafted
0.7384604068036139,0.06674473067915691,854,HistGradientBoosting__graph_handcrafted
0.85024558393813,0.06418485237483953,779,HistGradientBoosting__graph_handcrafted
0.9455195264520195,0.06775407779171895,797,HistGradientBoosting__graph_handcrafted
0.009458459913730621,0.009029345372460496,886,XGBoost__graph_handcrafted
0.02767946384847164,0.007223942208462332,969,XGBoost__graph_handcrafted
0.09409915655851364,0.021303258145363407,798,XGBoost__graph_handcrafted
0.25203558802604675,0.02927289896128423,1059,XGBoost__graph_handcrafted
0.6214941740036011,0.061487328624844205,2407,XGBoost__graph_handcrafted
0.6503410339355469,0.0,82,XGBoost__graph_handcrafted
0.7234686613082886,0.08229665071770335,1045,XGBoost__graph_handcrafted
0.8515916466712952,0.07142857142857142,798,XGBoost__graph_handcrafted
0.9443168640136719,0.06775407779171895,797,XGBoost__graph_handcrafted
0.0025122498894568942,0.003827751196172249,1045,ExtraTrees__tabular_plus_graph
0.008339154320200794,0.002628120893561104,761,ExtraTrees__tabular_plus_graph
0.014000928817404761,0.0034562211981566822,868,ExtraTrees__tabular_plus_graph
0.021065998596629734,0.013888888888888888,864,ExtraTrees__tabular_plus_graph
0.02874342907158798,0.015855039637599093,883,ExtraTrees__tabular_plus_graph
0.039274308831938914,0.02824858757062147,885,ExtraTrees__tabular_plus_graph
0.05263873789992642,0.038461538461538464,884,ExtraTrees__tabular_plus_graph
0.07065808082317579,0.05096262740656852,883,ExtraTrees__tabular_plus_graph
0.10463192791753433,0.06447963800904978,884,ExtraTrees__tabular_plus_graph
0.38570858778012446,0.2398190045248869,884,ExtraTrees__tabular_plus_graph
0.00010641377896002668,0.0,886,HistGradientBoosting__tabular_plus_graph
0.00013628040683750657,0.0,883,HistGradientBoosting__tabular_plus_graph
0.00017677729838318644,0.0011312217194570137,884,HistGradientBoosting__tabular_plus_graph
0.00024669114633304263,0.0,884,HistGradientBoosting__tabular_plus_graph
0.000381362189955394,0.0022624434389140274,884,HistGradientBoosting__tabular_plus_graph
0.0008447933911017115,0.04751131221719457,884,HistGradientBoosting__tabular_plus_graph
0.0031918191386123116,0.11312217194570136,884,HistGradientBoosting__tabular_plus_graph
