model,family,feature_set,policy,threshold,accuracy,precision,recall,f1,false_positives_per_true_positive,predicted_positive_rate,tp,fp,tn,fn
HistGradientBoosting__tabular_plus_graph_plus_spectral,feature_ablation,tabular_plus_graph_plus_spectral,validation_precision_at_least_80pct,0.31475242700410844,0.941070014704219,0.3889980353634578,0.4852941176470588,0.4318429661941112,1.5707070707070707,0.057572672774573015,198,311,8122,210
HistGradientBoosting__all_features,feature_ablation,all_features,validation_precision_at_least_80pct,0.3156363800458034,0.940730686573917,0.38715953307393,0.4877450980392157,0.4316702819956616,1.5829145728643217,0.05813821965840968,199,315,8118,209
HistGradientBoosting__tabular_plus_graph,feature_ablation,tabular_plus_graph,validation_precision_at_least_80pct,0.35958451139508046,0.939712702183011,0.37957610789980734,0.48284313725490197,0.4250269687162891,1.634517766497462,0.05870376654224635,197,322,8111,211
HistGradientBoosting__tabular_plus_graph_plus_node2vec,feature_ablation,tabular_plus_graph_plus_node2vec,validation_precision_at_least_80pct,0.3192728783365002,0.9384684990385703,0.37218045112781956,0.4852941176470588,0.42127659574468085,1.6868686868686869,0.060174188440221696,198,334,8099,210
StrictTemporalGraphSAGE,strict_temporal_graph_ai,model_native,validation_precision_at_least_80pct,0.93256014585495,0.9610903743920372,0.7711864406779662,0.22303921568627452,0.34600760456273766,0.2967032967032967,0.013346906458545414,91,27,8406,317
GraphSAGE,graph_ai,model_native,validation_precision_at_least_80pct,0.7672081589698792,0.9435584209931003,0.36,0.2867647058823529,0.31923601637107774,1.7777777777777777,0.036760547449383556,117,208,8225,291
ResidualGCN,graph_ai,model_native,validation_precision_at_least_80pct,0.5544684529304504,0.9288542020133469,0.15789473684210525,0.125,0.13953488372093023,5.333333333333333,0.03653432869584888,51,272,8161,357
XGBoost__graph_handcrafted,feature_ablation,graph_handcrafted,validation_precision_at_least_80pct,0.681049644947052,0.7151905892998529,0.07630522088353414,0.46568627450980393,0.13112491373360938,12.105263157894736,0.2816423481506617,190,2300,6133,218
GATLite,graph_ai,model_native,validation_precision_at_least_80pct,0.8444734215736389,0.9504580929759077,0.3404255319148936,0.0784313725490196,0.12749003984063745,1.9375,0.010632281416129397,32,62,8371,376
HistGradientBoosting__graph_handcrafted,feature_ablation,graph_handcrafted,validation_precision_at_least_80pct,0.679248703242125,0.6910982920484108,0.07250644092749356,0.48284313725490197,0.12608,12.791878172588833,0.3073181766768465,197,2520,5913,211
HistGradientBoosting__spectral_graph_embedding,feature_ablation,spectral_graph_embedding,validation_precision_at_least_80pct,0.033431221414138235,0.17181314330958036,0.052202072538860105,0.9877450980392157,0.09916338582677166,18.156327543424318,0.8732043886438186,403,7317,1116,5
ExtraTrees__spectral_graph_embedding,feature_ablation,spectral_graph_embedding,validation_precision_at_least_80pct,0.1447915967509235,0.24589978509218413,0.04821712140897936,0.8186274509803921,0.09107021131561009,19.739520958083833,0.7835086528673227,334,6593,1840,74
XGBoost__spectral_graph_embedding,feature_ablation,spectral_graph_embedding,validation_precision_at_least_80pct,0.507453978061676,0.7962900124420315,0.045068582625734814,0.16911764705882354,0.07117070654976793,21.18840579710145,0.17317045583078838,69,1462,6971,339
Logistic Regression,tabular_ml,model_native,validation_precision_at_least_80pct,1.0,0.9539644836556951,1.0,0.0024509803921568627,0.004889975550122249,0.0,0.00011310937676733401,1,0,8433,407
