model,split,metric,point_estimate,ci_lower_95,ci_upper_95,n_test,positive_rate,bootstrap_resamples,k_for_precision_recall_at_k,model_family,train_seconds
XGBoost__tabular_plus_graph,main_test,precision,0.43326039387308535,0.387157130272777,0.4780993407858408,8841,0.04614862572107228,1000,443,feature_ablation,3.586773157119751
XGBoost__tabular_plus_graph,main_test,recall,0.4852941176470588,0.4368932038834951,0.5314916773367477,8841,0.04614862572107228,1000,443,feature_ablation,3.586773157119751
XGBoost__tabular_plus_graph,main_test,f1,0.4578034682080925,0.4137045462282009,0.4976757399577167,8841,0.04614862572107228,1000,443,feature_ablation,3.586773157119751
XGBoost__tabular_plus_graph,main_test,auroc,0.8415698248942647,0.8239748816176634,0.8588848290059446,8841,0.04614862572107228,1000,443,feature_ablation,3.586773157119751
XGBoost__tabular_plus_graph,main_test,auprc,0.5381024234255666,0.4915016486887203,0.5822468871431004,8841,0.04614862572107228,1000,443,feature_ablation,3.586773157119751
XGBoost__tabular_plus_graph,main_test,brier,0.044958693084668565,0.04170986832865399,0.04858076804143536,8841,0.04614862572107228,1000,443,feature_ablation,3.586773157119751
XGBoost__tabular_plus_graph,main_test,precision_at_k,0.4469525959367946,0.3860045146726862,0.5033860045146726,8841,0.04614862572107228,1000,443,feature_ablation,3.586773157119751
XGBoost__tabular_plus_graph,main_test,recall_at_k,0.4852941176470588,0.4368653691992518,0.5284650562851783,8841,0.04614862572107228,1000,443,feature_ablation,3.586773157119751
ExtraTrees__spectral_graph_embedding,main_test,accuracy,0.9445764053840063,0.9395995928062436,0.9493269992082344,8841,0.04614862572107228,1000,443,feature_ablation,9.253407001495361
ExtraTrees__spectral_graph_embedding,main_test,precision,0.0,0.0,0.0,8841,0.04614862572107228,1000,443,feature_ablation,9.253407001495361
ExtraTrees__spectral_graph_embedding,main_test,recall,0.0,0.0,0.0,8841,0.04614862572107228,1000,443,feature_ablation,9.253407001495361
ExtraTrees__spectral_graph_embedding,main_test,f1,0.0,0.0,0.0,8841,0.04614862572107228,1000,443,feature_ablation,9.253407001495361
ExtraTrees__spectral_graph_embedding,main_test,auroc,0.4561761915723245,0.4277210746503595,0.48287549460274753,8841,0.04614862572107228,1000,443,feature_ablation,9.253407001495361
ExtraTrees__spectral_graph_embedding,main_test,auprc,0.04016580773547036,0.03556056312948288,0.045224985206192926,8841,0.04614862572107228,1000,443,feature_ablation,9.253407001495361
ExtraTrees__spectral_graph_embedding,main_test,brier,0.08959435618622065,0.08678696687296271,0.09253261423019929,8841,0.04614862572107228,1000,443,feature_ablation,9.253407001495361
ExtraTrees__spectral_graph_embedding,main_test,precision_at_k,0.009029345372460496,0.006772009029345372,0.03160270880361174,8841,0.04614862572107228,1000,443,feature_ablation,9.253407001495361
ExtraTrees__spectral_graph_embedding,main_test,recall_at_k,0.00980392156862745,0.0074432497013142175,0.03464203233256351,8841,0.04614862572107228,1000,443,feature_ablation,9.253407001495361
HistGradientBoosting__spectral_graph_embedding,main_test,accuracy,0.8631376541115259,0.8562379821287185,0.8703766542246352,8841,0.04614862572107228,1000,443,feature_ablation,1.5238935947418213
HistGradientBoosting__spectral_graph_embedding,main_test,precision,0.06030701754385965,0.045152943157751896,0.07517270588702886,8841,0.04614862572107228,1000,443,feature_ablation,1.5238935947418213
HistGradientBoosting__spectral_graph_embedding,main_test,recall,0.13480392156862744,0.10072509995389173,0.16800731707317074,8841,0.04614862572107228,1000,443,feature_ablation,1.5238935947418213
HistGradientBoosting__spectral_graph_embedding,main_test,f1,0.08333333333333333,0.0630874879857451,0.1033125991483677,8841,0.04614862572107228,1000,443,feature_ablation,1.5238935947418213
HistGradientBoosting__spectral_graph_embedding,main_test,auroc,0.6084264548935903,0.5830415291560705,0.632979777547709,8841,0.04614862572107228,1000,443,feature_ablation,1.5238935947418213
HistGradientBoosting__spectral_graph_embedding,main_test,auprc,0.059211647387720605,0.05220533010155876,0.06738656542172862,8841,0.04614862572107228,1000,443,feature_ablation,1.5238935947418213
HistGradientBoosting__spectral_graph_embedding,main_test,brier,0.12177507463502929,0.11864451193778451,0.12489546882661581,8841,0.04614862572107228,1000,443,feature_ablation,1.5238935947418213
HistGradientBoosting__spectral_graph_embedding,main_test,precision_at_k,0.07223476297968397,0.03160270880361174,0.09255079006772009,8841,0.04614862572107228,1000,443,feature_ablation,1.5238935947418213
HistGradientBoosting__spectral_graph_embedding,main_test,recall_at_k,0.0784313725490196,0.033974441455140954,0.0987410703095626,8841,0.04614862572107228,1000,443,feature_ablation,1.5238935947418213
XGBoost__spectral_graph_embedding,main_test,accuracy,0.786336387286506,0.7777400746521886,0.7945961995249406,8841,0.04614862572107228,1000,443,feature_ablation,0.7988071441650391
XGBoost__spectral_graph_embedding,main_test,precision,0.04374614910659273,0.03345901937329956,0.05381433009544963,8841,0.04614862572107228,1000,443,feature_ablation,0.7988071441650391
XGBoost__spectral_graph_embedding,main_test,recall,0.17401960784313725,0.1368863990131869,0.21158823451014885,8841,0.04614862572107228,1000,443,feature_ablation,0.7988071441650391
XGBoost__spectral_graph_embedding,main_test,f1,0.06991629739044805,0.05377792763847544,0.08560589216231239,8841,0.04614862572107228,1000,443,feature_ablation,0.7988071441650391
XGBoost__spectral_graph_embedding,main_test,auroc,0.5333255441391546,0.5069870233797082,0.5573035043677801,8841,0.04614862572107228,1000,443,feature_ablation,0.7988071441650391
XGBoost__spectral_graph_embedding,main_test,auprc,0.048744741957466586,0.04272227489356851,0.05566054742774625,8841,0.04614862572107228,1000,443,feature_ablation,0.7988071441650391
XGBoost__spectral_graph_embedding,main_test,brier,0.15987150498001895,0.1569437664233606,0.1626640923025098,8841,0.04614862572107228,1000,443,feature_ablation,0.7988071441650391
XGBoost__spectral_graph_embedding,main_test,precision_at_k,0.05191873589164785,0.03160270880361174,0.07223476297968397,8841,0.04614862572107228,1000,443,feature_ablation,0.7988071441650391
XGBoost__spectral_graph_embedding,main_test,recall_at_k,0.056372549019607844,0.036057692307692304,0.07728265666372461,8841,0.04614862572107228,1000,443,feature_ablation,0.7988071441650391
ExtraTrees__tabular_plus_graph_plus_spectral,main_test,accuracy,0.9740979527202805,0.9707018436828413,0.977607171134487,8841,0.04614862572107228,1000,443,feature_ablation,3.8113856315612793
ExtraTrees__tabular_plus_graph_plus_spectral,main_test,precision,0.9543147208121827,0.9259160756501182,0.9802979812614702,8841,0.04614862572107228,1000,443,feature_ablation,3.8113856315612793
ExtraTrees__tabular_plus_graph_plus_spectral,main_test,recall,0.46078431372549017,0.41217927730773873,0.5068005738880917,8841,0.04614862572107228,1000,443,feature_ablation,3.8113856315612793
ExtraTrees__tabular_plus_graph_plus_spectral,main_test,f1,0.6214876033057851,0.5750736236986808,0.664557702561267,8841,0.04614862572107228,1000,443,feature_ablation,3.8113856315612793
ExtraTrees__tabular_plus_graph_plus_spectral,main_test,auroc,0.8463119328129687,0.8263089530444732,0.8642755886745865,8841,0.04614862572107228,1000,443,feature_ablation,3.8113856315612793
ExtraTrees__tabular_plus_graph_plus_spectral,main_test,auprc,0.5500552159140595,0.5043709143676594,0.5947757260878531,8841,0.04614862572107228,1000,443,feature_ablation,3.8113856315612793
ExtraTrees__tabular_plus_graph_plus_spectral,main_test,brier,0.028395884973140308,0.02555695812158656,0.031214450867903212,8841,0.04614862572107228,1000,443,feature_ablation,3.8113856315612793
ExtraTrees__tabular_plus_graph_plus_spectral,main_test,precision_at_k,0.4469525959367946,0.3860045146726862,0.5056433408577878,8841,0.04614862572107228,1000,443,feature_ablation,3.8113856315612793
ExtraTrees__tabular_plus_graph_plus_spectral,main_test,recall_at_k,0.4852941176470588,0.43806303545999953,0.5325375745405866,8841,0.04614862572107228,1000,443,feature_ablation,3.8113856315612793
HistGradientBoosting__tabular_plus_graph_plus_spectral,main_test,accuracy,0.957357764958715,0.9530567809071372,0.9613165931455717,8841,0.04614862572107228,1000,443,feature_ablation,5.618701934814453
HistGradientBoosting__tabular_plus_graph_plus_spectral,main_test,precision,0.5424657534246575,0.49004779113030833,0.5937520083547558,8841,0.04614862572107228,1000,443,feature_ablation,5.618701934814453
HistGradientBoosting__tabular_plus_graph_plus_spectral,main_test,recall,0.4852941176470588,0.43715543412264724,0.5338197005858104,8841,0.04614862572107228,1000,443,feature_ablation,5.618701934814453
HistGradientBoosting__tabular_plus_graph_plus_spectral,main_test,f1,0.5122897800776197,0.4679711679016079,0.552669699027738,8841,0.04614862572107228,1000,443,feature_ablation,5.618701934814453
HistGradientBoosting__tabular_plus_graph_plus_spectral,main_test,auroc,0.8430433776736117,0.826085932404583,0.8596189695833432,8841,0.04614862572107228,1000,443,feature_ablation,5.618701934814453
HistGradientBoosting__tabular_plus_graph_plus_spectral,main_test,auprc,0.5337362614147609,0.48793236759116043,0.5778463389579064,8841,0.04614862572107228,1000,443,feature_ablation,5.618701934814453
HistGradientBoosting__tabular_plus_graph_plus_spectral,main_test,brier,0.036908244193051554,0.033556734073575366,0.0405860237687546,8841,0.04614862572107228,1000,443,feature_ablation,5.618701934814453
HistGradientBoosting__tabular_plus_graph_plus_spectral,main_test,precision_at_k,0.4469525959367946,0.38594808126410834,0.5079006772009029,8841,0.04614862572107228,1000,443,feature_ablation,5.618701934814453
HistGradientBoosting__tabular_plus_graph_plus_spectral,main_test,recall_at_k,0.4852941176470588,0.43715543412264724,0.5338197005858104,8841,0.04614862572107228,1000,443,feature_ablation,5.618701934814453
XGBoost__tabular_plus_graph_plus_spectral,main_test,accuracy,0.9395995928062436,0.9345068431172945,0.9445764053840063,8841,0.04614862572107228,1000,443,feature_ablation,4.4143781661987305
XGBoost__tabular_plus_graph_plus_spectral,main_test,precision,0.3793103448275862,0.3359352535585514,0.4207513647131527,8841,0.04614862572107228,1000,443,feature_ablation,4.4143781661987305
XGBoost__tabular_plus_graph_plus_spectral,main_test,recall,0.4852941176470588,0.4368932038834951,0.5314916773367477,8841,0.04614862572107228,1000,443,feature_ablation,4.4143781661987305
XGBoost__tabular_plus_graph_plus_spectral,main_test,f1,0.4258064516129032,0.38468776914028857,0.4623942390854736,8841,0.04614862572107228,1000,443,feature_ablation,4.4143781661987305
XGBoost__tabular_plus_graph_plus_spectral,main_test,auroc,0.8387267690190033,0.8199017095653455,0.855875549110561,8841,0.04614862572107228,1000,443,feature_ablation,4.4143781661987305
XGBoost__tabular_plus_graph_plus_spectral,main_test,auprc,0.5336124673118797,0.48748731257059735,0.5777955023919943,8841,0.04614862572107228,1000,443,feature_ablation,4.4143781661987305
XGBoost__tabular_plus_graph_plus_spectral,main_test,brier,0.04987285324519671,0.046430543912381134,0.05355808111880228,8841,0.04614862572107228,1000,443,feature_ablation,4.4143781661987305
XGBoost__tabular_plus_graph_plus_spectral,main_test,precision_at_k,0.44469525959367945,0.3837471783295711,0.5056433408577878,8841,0.04614862572107228,1000,443,feature_ablation,4.4143781661987305
XGBoost__tabular_plus_graph_plus_spectral,main_test,recall_at_k,0.48284313725490197,0.4351145038167939,0.5288675742574257,8841,0.04614862572107228,1000,443,feature_ablation,4.4143781661987305
ExtraTrees__node2vec_embedding,main_test,accuracy,0.9538513742789277,0.9495532179617691,0.9581523583305056,8841,0.04614862572107228,1000,443,feature_ablation,3.1296281814575195
ExtraTrees__node2vec_embedding,main_test,precision,0.0,0.0,0.0,8841,0.04614862572107228,1000,443,feature_ablation,3.1296281814575195
ExtraTrees__node2vec_embedding,main_test,recall,0.0,0.0,0.0,8841,0.04614862572107228,1000,443,feature_ablation,3.1296281814575195
ExtraTrees__node2vec_embedding,main_test,f1,0.0,0.0,0.0,8841,0.04614862572107228,1000,443,feature_ablation,3.1296281814575195
ExtraTrees__node2vec_embedding,main_test,auroc,0.5520807902195622,0.523813044954064,0.5775463539787917,8841,0.04614862572107228,1000,443,feature_ablation,3.1296281814575195
ExtraTrees__node2vec_embedding,main_test,auprc,0.05358881440082033,0.04671270844291984,0.06395853090921476,8841,0.04614862572107228,1000,443,feature_ablation,3.1296281814575195
ExtraTrees__node2vec_embedding,main_test,brier,0.06499170398922494,0.0623104802069345,0.06769981810663386,8841,0.04614862572107228,1000,443,feature_ablation,3.1296281814575195
ExtraTrees__node2vec_embedding,main_test,precision_at_k,0.04966139954853273,0.03160270880361174,0.07223476297968397,8841,0.04614862572107228,1000,443,feature_ablation,3.1296281814575195
ExtraTrees__node2vec_embedding,main_test,recall_at_k,0.05392156862745098,0.032862960591833835,0.07801695478723404,8841,0.04614862572107228,1000,443,feature_ablation,3.1296281814575195
