model,feature,importance_type,importance,importance_std
Extra Trees,f_129,model_builtin,0.0013193267667179424,
Extra Trees,f_017,model_builtin,0.001304554456397924,
Extra Trees,f_068,permutation_auprc_drop,0.001300606748248756,0.001902695028386251
Extra Trees,f_016,model_builtin,0.0012954252730868704,
Extra Trees,f_016,permutation_auprc_drop,0.0012942313188621158,0.0002405277051137731
Extra Trees,f_153,permutation_auprc_drop,0.0012483410912112914,0.0002927245668452911
Extra Trees,f_003,model_builtin,0.0012245082791657853,
Extra Trees,f_098,permutation_auprc_drop,0.0012210638635478,0.000375547025344109
Extra Trees,f_161,model_builtin,0.0012015547618319153,
Extra Trees,f_160,model_builtin,0.0011886691707295792,
Extra Trees,f_011,permutation_auprc_drop,0.0011667718212621137,0.0006841138699951153
Extra Trees,f_008,permutation_auprc_drop,0.0011566723634415465,0.00021523633174810907
Extra Trees,f_124,permutation_auprc_drop,0.0011347574317470022,0.0005326656174461824
Extra Trees,f_118,model_builtin,0.0011183381088824224,
Extra Trees,f_120,model_builtin,0.0010997725307868922,
Extra Trees,f_107,model_builtin,0.0010939243683566985,
Extra Trees,f_056,permutation_auprc_drop,0.0010789086150909677,0.00038603304230312583
Extra Trees,f_130,model_builtin,0.001078045598410609,
Extra Trees,f_141,permutation_auprc_drop,0.0010494398756093815,0.0002952865057035357
Extra Trees,f_160,permutation_auprc_drop,0.0010296858476988135,0.00045636164068608916
Extra Trees,f_132,model_builtin,0.0010231036159488419,
Extra Trees,f_131,model_builtin,0.001009986350814714,
Extra Trees,f_026,permutation_auprc_drop,0.0010014914036187595,0.00047949633024480046
Extra Trees,f_081,model_builtin,0.000999412844275896,
Extra Trees,f_123,permutation_auprc_drop,0.000985245120771383,0.0005249709080936303
Extra Trees,f_015,model_builtin,0.0009661966994093254,
Extra Trees,f_040,permutation_auprc_drop,0.0009591389122838745,0.0010595227378533073
Extra Trees,f_018,permutation_auprc_drop,0.0009220592363121116,0.00015865657936407383
Extra Trees,f_095,model_builtin,0.0009190010106017919,
Extra Trees,f_162,permutation_auprc_drop,0.0008936198070139345,0.0004912933546161706
Extra Trees,f_126,permutation_auprc_drop,0.0008494644064665046,0.0004241769755129163
Extra Trees,f_010,permutation_auprc_drop,0.0008412843502773937,0.0002710007432112133
Extra Trees,f_082,permutation_auprc_drop,0.0008404048137207298,0.0004315695564175725
Extra Trees,f_075,model_builtin,0.0008342451396669221,
Extra Trees,f_096,model_builtin,0.0008266043279418726,
Extra Trees,f_111,permutation_auprc_drop,0.0008203332317473832,0.0004923791245158738
